RCDTS,County ,Dist # ,District Name/ School Name,City,ELA,Math
490810300170000,Rock Island,300,United Twp HSD 30,East Moline,456.0,441.6
490810300170001,Rock Island,300,United Twp High School,East Moline,456.4,442.1
490810400220000,Rock Island,400,Moline-Coal Valley CUSD 40,Moline,485.3,479.2
490810400220001,Rock Island,400,Moline Sr High School,Moline,489.8,483.7
490810410250000,Rock Island,410,Rock Island SD 41,Rock Island,455.2,446.2
490810410250001,Rock Island,410,Rock Island High School,Rock Island,458.5,450.9
490811000260000,Rock Island,1000,Riverdale CUSD 100,Port Byron,526.9,523.0
490811000260001,Rock Island,1000,Riverdale Sr High School,Port Byron,528.3,525.3
490812000260000,Rock Island,2000,Sherrard CUSD 200,Sherrard,506.5,513.4
490812000260001,Rock Island,2000,Sherrard High School,Sherrard,507.8,514.9
490813000260000,Rock Island,3000,Rockridge CUSD 300,Taylor Ridge,527.1,512.6
490813000260001,Rock Island,3000,Rockridge High School,Taylor Ridge,531.2,515.4
500820090260000,Saint Clair,90,Lebanon CUSD 9,Lebanon,489.5,481.0
500820090260003,Saint Clair,90,Lebanon High School,Lebanon,489.5,481.0
500820190260000,Saint Clair,190,Mascoutah CUD 19,Mascoutah,544.0,525.4
500820190260001,Saint Clair,190,Mascoutah High School,Mascoutah,536.1,518.4
500820400260000,Saint Clair,400,Marissa CUSD 40,Marissa,460.8,460.2
500820400260001,Saint Clair,400,Marissa Jr & Sr High School,Marissa,460.8,460.2
500820600260000,Saint Clair,600,New Athens CUSD 60,New Athens,493.1,473.1
500820600260003,Saint Clair,600,New Athens High School,New Athens,482.9,465.8
500820770160000,Saint Clair,770,Freeburg CHSD 77,Freeburg,521.6,512.5
500820770160001,Saint Clair,770,Freeburg Community High Sch,Freeburg,520.6,511.5
500821870260000,Saint Clair,1870,Cahokia CUSD 187,Cahokia,418.4,391.8
500821870260011,Saint Clair,1870,Cahokia High School,Cahokia,412.3,384.1
500821880220000,Saint Clair,1880,Brooklyn UD 188,Lovejoy,382.5,362.5
500821880220001,Saint Clair,1880,Lovejoy Technology Academy,Lovejoy,382.5,362.5
500821890220000,Saint Clair,1890,East St Louis SD 189,East Saint Louis,408.5,386.0
500821890220043,Saint Clair,1890,East St Louis Senior High School,East Saint Louis,406.0,383.6
500821960260000,Saint Clair,1960,Dupo CUSD 196,Dupo,476.6,464.5
500821960260001,Saint Clair,1960,Dupo High School,Dupo,476.6,464.5
500822010170000,Saint Clair,2010,Belleville Twp HSD 201,Belleville,491.7,479.7
500822010170001,Saint Clair,2010,Belleville High School-East,Belleville,498.0,485.8
500822010170002,Saint Clair,2010,Belleville High School-West,Belleville,494.1,483.7
500822030170000,Saint Clair,2030,O Fallon Twp HSD 203,O Fallon,540.7,538.4
